Username,number- not needed,Email,Password,First Name,Last Name,Pronouns,University,Birthday,Academic Skills,Fitness Interests,Getting Help,Giving Help,Ratings,Profile Picture,Bio,Major,Grad Year
AriaSmith3,3,AriaSmith@uni.edu,q7yT*2pLz!,Aria,Smith,They/Them,Indiana University Bloomington,3/14/98,Accounting,"Boxing, Dance, Hiking",yes,yes,2,,"Hi there, my name is Aria Smith! Some of my interests include Boxing, Dance, Hiking, and Accounting, and my major is Computer Science. Can't wait to meet you!",Computer Science,2015
XavierKim1,1,XavierKim@uni.edu,aB9#s1oC4@,Xavier,Kim,He/Him,University of Maryland,5/22/97, Algebra,"Running, Yoga, Weightlifting",yes,,3,,"Hi there, my name is Xavier Kim! Some of my interests include Running, Yoga, Weightlifting, and  Algebra, and my major is Psychology. Can't wait to meet you!",Psychology,2016
LunaHernandez7,7,LunaHernandez@uni.edu,x5U!v8Nw2%,Luna,Hernandez,They/Them,University of Michigan,11/8/99, Biology,"Cardio, CrossFit, Cycling, Zumba",yes,,5,,"Hi there, my name is Luna Hernandez! Some of my interests include Cardio, CrossFit, Cycling, Zumba, and  Biology, and my major is Biology. Can't wait to meet you!",Biology,2017
CalebPatel1,1,CalebPatel@uni.edu,dF3*z1oV6@,Caleb,Patel,He/Him,Michigan State University ,9/30/00, Calculus,"Golfing, Hiking, Pilates, Swimming, Walking",yes,,2,,"Hi there, my name is Caleb Patel! Some of my interests include Golfing, Hiking, Pilates, Swimming, Walking, and  Calculus, and my major is Marketing. Can't wait to meet you!",Marketing,2018
IsabellaNguyen3,3,IsabellaNguyen@uni.edu,k9R$g2iE1%,Isabella,Nguyen,She/Her,Ohio State University,7/12/96, Chemistry,"Strength, Weightlifting, Yoga, Zumba",yes,,3,,"Hi there, my name is Isabella Nguyen! Some of my interests include Strength, Weightlifting, Yoga, Zumba, and  Chemistry, and my major is Sociology. Can't wait to meet you!",Sociology,2019
LeoGarcia5,5,LeoGarcia@uni.edu,m5A@w8yT7!,Leo,Garcia,He/Him,Pennsylvania State University,2/18/01, Computer Science,"Dance, Running, Yoga",yes,,3,,"Hi there, my name is Leo Garcia! Some of my interests include Dance, Running, Yoga, and  Computer Science, and my major is Political Science. Can't wait to meet you!",Political Science,2020
OliviaWang3,3,OliviaWang@uni.edu,h2L!v4Xo9*,Olivia,Wang,She/Her,Rutgers University,6/25/97, Economics,"Boxing, Martial Arts, Pilates, Swimming",yes,,5,,"Hi there, my name is Olivia Wang! Some of my interests include Boxing, Martial Arts, Pilates, Swimming, and  Economics, and my major is Finance. Can't wait to meet you!",Finance,2021
MasonJohnson2,2,MasonJohnson@uni.edu,e3J%b7Z4@u,Mason,Johnson,He/Him,University of Illinois - Urbana Champaign,12/4/98, Finite Math,"CrossFit, Cycling, Hiking, Yoga",yes,,3,,"Hi there, my name is Mason Johnson! Some of my interests include CrossFit, Cycling, Hiking, Yoga, and  Finite Math, and my major is English. Can't wait to meet you!",English,2022
AvaSilva7,7,AvaSilva@uni.edu,fS*8n1Wz!o,Ava,Silva,She/Her,University of Minnesota,8/17/02, Foreign Languages,"Cardio, Running, Strength, Weightlifting, Zumba",yes,,4,,"Hi there, my name is Ava Silva! Some of my interests include Cardio, Running, Strength, Weightlifting, Zumba, and  Foreign Languages, and my major is Nursing. Can't wait to meet you!",Nursing,2023
EthanLopez5,5,EthanLopez@uni.edu,p2L!g9Yw$6,Ethan,Lopez,He/Him,University of Nebraska,4/29/95, Geometry,"Golfing, Pilates, Walking",yes,,5,,"Hi there, my name is Ethan Lopez! Some of my interests include Golfing, Pilates, Walking, and  Geometry, and my major is Electrical Engineering. Can't wait to meet you!",Electrical Engineering,2024
ZoeyTakahashi8,8,ZoeyTakahashi@uni.edu,r1M!v3Pz#5,Zoey,Takahashi,They/Them,Northwestern University,10/11/01, Geography,"Hiking, Martial Arts, Pilates",yes,,4,,"Hi there, my name is Zoey Takahashi! Some of my interests include Hiking, Martial Arts, Pilates, and  Geography, and my major is History. Can't wait to meet you!",History,2025
GabrielRodriguez6,6,GabrielRodriguez@uni.edu,c5D!y7Rz*9,Gabriel,Rodriguez,He/Him,Purdue University,1/23/96, History,"Boxing, Dance, Weightlifting",yes,,4,,"Hi there, my name is Gabriel Rodriguez! Some of my interests include Boxing, Dance, Weightlifting, and  History, and my major is Environmental Science. Can't wait to meet you!",Environmental Science,2026
HarperAli1,1,HarperAli@uni.edu,oP6!e9Ia2@,Harper,Ali,They/Them,University of Wisconsin-Madison,7/2/00, Literature,"Cardio, Cycling, Running, Yoga",yes,,5,,"Hi there, my name is Harper Ali! Some of my interests include Cardio, Cycling, Running, Yoga, and  Literature, and my major is Chemistry. Can't wait to meet you!",Chemistry,2015
LiamMartinez2,2,LiamMartinez@uni.edu,b4N%k8W!3,Liam,Martinez,He/Him,Indiana University Bloomington,9/19/97, Math,"Golfing, Hiking, Weightlifting, Zumba",yes,,5,,"Hi there, my name is Liam Martinez! Some of my interests include Golfing, Hiking, Weightlifting, Zumba, and  Math, and my major is Mathematics. Can't wait to meet you!",Mathematics,2027
SophiaKimura3,3,SophiaKimura@uni.edu,u7C@r1F8*3,Sophia,Kimura,She/Her,University of Maryland,3/8/99, Music,"Strength, Swimming, Walking",yes,yes,5,,"Hi there, my name is Sophia Kimura! Some of my interests include Strength, Swimming, Walking, and  Music, and my major is Business Administration. Can't wait to meet you!",Business Administration,2015
NoahMurphy1,1,NoahMurphy@uni.edu,z2X!y4Tg6@,Noah,Murphy,He/Him,University of Michigan,11/27/94, Philosophy,"CrossFit, Yoga",yes,yes,3,,"Hi there, my name is Noah Murphy! Some of my interests include CrossFit, Yoga, and  Philosophy, and my major is Communication Studies. Can't wait to meet you!",Communication Studies,2016
GraceSingh5,5,GraceSingh@uni.edu,t9O*l2Hw#7,Grace,Singh,They/Them,Michigan State University ,5/15/02, Physics,"Boxing, Dance, Pilates, Running",yes,yes,4,,"Hi there, my name is Grace Singh! Some of my interests include Boxing, Dance, Pilates, Running, and  Physics, and my major is Graphic Design. Can't wait to meet you!",Graphic Design,2017
ElijahDavis5,5,ElijahDavis@uni.edu,i5Q!s8Ae7@,Elijah,Davis,He/Him,Ohio State University,8/6/98, Political Science,"Cardio, Cycling, Golfing, Hiking, Zumba",,yes,2,,"Hi there, my name is Elijah Davis! Some of my interests include Cardio, Cycling, Golfing, Hiking, Zumba, and  Political Science, and my major is Economics. Can't wait to meet you!",Economics,2018
ChloeLee1,1,ChloeLee@uni.edu,s3G@h6T1!v,Chloe,Lee,She/Her,Pennsylvania State University,12/31/01, Probability,"Strength, Weightlifting",,yes,3,,"Hi there, my name is Chloe Lee! Some of my interests include Strength, Weightlifting, and  Probability, and my major is Mechanical Engineering. Can't wait to meet you!",Mechanical Engineering,2019
JacksonSantos1,1,JacksonSantos@uni.edu,u8V*w2Rz!1,Jackson,Santos,He/Him,Rutgers University,6/9/96, Psychology,"Martial Arts, Boxing",,yes,2,,"Hi there, my name is Jackson Santos! Some of my interests include Martial Arts, Boxing, and  Psychology, and my major is Criminal Justice. Can't wait to meet you!",Criminal Justice,2020
MiaRossi7,7,MiaRossi@uni.edu,n1Y@t9Df4*,Mia,Rossi,She/Her,University of Illinois - Urbana Champaign,2/14/00, Science,"Boxing, Cardio, CrossFit, Dance, Hiking",,yes,4,,"Hi there, my name is Mia Rossi! Some of my interests include Boxing, Cardio, CrossFit, Dance, Hiking, and  Science, and my major is Public Health. Can't wait to meet you!",Public Health,2021
LoganSmith1,1,LoganSmith@uni.edu,m7F*g2Wk8%,Logan,Smith,He/Him,University of Minnesota,10/23/95, Sociology,"Running, Strength, Weightlifting, Zumba",,yes,3,,"Hi there, my name is Logan Smith! Some of my interests include Running, Strength, Weightlifting, Zumba, and  Sociology, and my major is Journalism. Can't wait to meet you!",Journalism,2022
EmilyKim8,8,EmilyKim@uni.edu,q4Z!c9Ea3@,Emily,Kim,She/Her,University of Nebraska,4/7/97, Speaking,Swimming,,yes,4,,"Hi there, my name is Emily Kim! Some of my interests include Swimming, and  Speaking, and my major is Physics. Can't wait to meet you!",Physics,2023
AidenRodriguez9,9,AidenRodriguez@uni.edu,v6I!f2Dy7*,Aiden,Rodriguez,He/Him,Northwestern University,1/11/02, Statistics,"Yoga, Walking",,yes,4,,"Hi there, my name is Aiden Rodriguez! Some of my interests include Yoga, Walking, and  Statistics, and my major is Education. Can't wait to meet you!",Education,2024
ScarlettPatel7,7,ScarlettPatel@uni.edu,l9B!p4Sx2@,Scarlett,Patel,She/Her,Purdue University,9/28/99, Trigonometry,"Boxing, Dance, Running",,yes,2,,"Hi there, my name is Scarlett Patel! Some of my interests include Boxing, Dance, Running, and  Trigonometry, and my major is Anthropology. Can't wait to meet you!",Anthropology,2025
